dataset,original_id,sentence,word_count,length_bucket
conll14,conll14_10,My answer is no .,5,short
conll14,conll14_921,This is a potential danger for teenagers who are growing with social changes to get hurt .,17,short
conll14,conll14_623,"Besides , there are more people shwing their pictures of yummy food or travelling experience .",16,short
conll14,conll14_604,"We know each others ' status , changements and so on through the social media .",16,short
conll14,conll14_993,"Secondly , it helps people to keep in-touch with one another .",12,short
conll14,conll14_224,This would avoid the rise of more family-related ethical dilemma .,11,short
conll14,conll14_1096,"We share ideas , stories and forge friendship based on mutual respect .",13,short
conll14,conll14_1027,"However , as the government controls most of the media .",11,short
conll14,conll14_416,He runs a test and know that he has the gene AA .,13,short
conll14,conll14_559,Therefore there is nothing to be shy for or be afraid of .,13,short
conll14,conll14_768,It is obvious to see that internet saves people 's time and also connect people globally .,17,short
conll14,conll14_703,"In addition , cyber relationship can not always work in real life .",13,short
conll14,conll14_1197,This essay will illustrate the pros and cons of using social media in modern society .,16,short
conll14,conll14_101,It is able to detect the illnesses or diseases and even a child 's parentage .,16,short
conll14,conll14_74,Privicy protection belongs to one 's human rights .,9,short
conll14,conll14_999,"However , social media sites also have its second side of negative impact on human .",16,short
conll14,conll14_294,The people with albinism have sensitive skin and it needs regular treatment .,13,short
conll14,conll14_291,"So , they have to also prepare mentally .",9,short
conll14,conll14_490,They always have a choice about whether to undergo the genetic test or not .,15,short
conll14,conll14_288,"More people ( relatives ) know her problem , more information channel is provided .",15,short
conll14,conll14_513,A couple in China have a son of 5 years old .,12,short
conll14,conll14_600,Social media has been playing a vital important role in our lives today .,14,short
conll14,conll14_26,"Above all , life is more important than secret .",10,short
conll14,conll14_238,"However , many of the carriers are not strong enough to overcome the challenges oneself .",16,short
conll14,conll14_801,"Thus , this makes Twitter and Facebook become one of the medium that we need .",16,short
conll14,conll14_883,Some scholars argue that the usage of social media reduces the face-to-face connection between human .,16,short
conll14,conll14_813,"Thus , you can see that some students will browse facebook while attending lectures .",15,short
conll14,conll14_876,There are over thousand miles between Singapore and these two countries .,12,short
conll14,conll14_463,To tell or not to tell,6,short
conll14,conll14_1227,"Nowadays , with the advancement of technology , it is easy to communicate wherever you are .",17,short
conll14,conll14_819,"Nowadays , the use of the sociall media platforms is a commonplace in our lives .",16,short
conll14,conll14_655,The space of separation between the parties must also be looked at .,13,short
conll14,conll14_624,"To some extent , this makes our life more luxry and blundering .",13,short
conll14,conll14_642,Communication would have took a different turn without the easily available social media .,14,short
conll14,conll14_144,"When things come to genetic issues , it is not that simple anymore .",14,short
conll14,conll14_914,"On the other side , we need to rethink about the influences brought by the social media .",18,medium
conll14,conll14_115,"Nevertheless , it will depend on what kind of genetic diseases , given in the context of current medical technology .",21,medium
conll14,conll14_1196,Some may say that the appearance for these modern media will reduce the chance for people to communicate face to face .,22,medium
conll14,conll14_866,We should maximize the benefits of such platforms but be careful of its impacts on the actual life that we have .,22,medium
conll14,conll14_1303,"A lot of people use their true information on social media sites , which can lead to crimes and deception .",21,medium
conll14,conll14_1088,We should take the advantages of the creatures we create and try to avoid the negative effects .,18,medium
conll14,conll14_368,"Especially when it is just a risk , the option is really his since he is not an actual sufferer .",21,medium
conll14,conll14_128,"With regard to this choice given , there must be some rules to regulate and exercise personal freedom of decision making .",22,medium
conll14,conll14_443,"The debatable question , an ethical dilemma , is that are people responsible for telling their relatives that they carry a known genetic risk ?",25,medium
conll14,conll14_942,"Despite the luxury that is offered by social media , there are also harmful side effects which people may not realize it beforehand .",24,medium
conll14,conll14_211,"When we were born , we were surrounded by our family and relatives , with them welcoming us to this new world .",23,medium
conll14,conll14_1198,"Firstly of all , social media can make it more convenient for people to make friends and contact each other .",21,medium
conll14,conll14_95,"However , if they already know they have a gene that may make them have higher possibilities to get hypertention .",21,medium
conll14,conll14_441,"Nowadays , people not only pursuit the comfort of their own life but also a better development of their following generations .",22,medium
conll14,conll14_1067,"In this fast pace and competitive world , people may not able to keep in touch with others .",19,medium
conll14,conll14_936,"Facebook is like a combination of message and chatting service , personal profile , media of sharing , and other entertainment add-on ( i.e .",25,medium
conll14,conll14_329,"To sum up , a carrier of a known genetic risk should be obligated to tell his or her relatives .",21,medium
conll14,conll14_952,"Because of this , other people start to think that our lives are full of happiness with no problem at all .",22,medium
conll14,conll14_1081,"People are able to share the culture or pretty photos online , therefore others can spread the joy with them .",21,medium
conll14,conll14_213,"Hence , they should be the people be grateful for and the people we would like to share the joy together .",22,medium
conll14,conll14_281,"Otherwise , making it an obligation will restric the choice of carriers and bring a lot of confusion to their relatives .",22,medium
conll14,conll14_458,"However , if you tell the truth to your wife and relatives , you offer a chance about whether to have child or not .",25,medium
conll14,conll14_250,"Therefore , it is our responsibility to tell the relatives to prevent the occurrence of undesired consequences .",18,medium
conll14,conll14_1050,"However , is it the same when we keep in touch with someone virtually compared to when we meet them personally ?",22,medium
conll14,conll14_691,"In addition , social network site can help you keep in touch with friends living very far away .",19,medium
conll14,conll14_64,"Otherwise , if the other parties did not know , they may end up with to have diabete in the future without any prevention .",25,medium
conll14,conll14_1200,Some will take long time and some are not efficient enough for people to get their response .,18,medium
conll14,conll14_586,"In some cases , a carrier can suffer tension within a family because the result is also related to the others ' risk somehow .",25,medium
conll14,conll14_542,"When they grow up , they take care of the old parents and thank for their dedication .",18,medium
conll14,conll14_271,"When people want to check whether they are genetic risk carriers , they can go and approach a doctor to consult about it .",24,medium
conll14,conll14_363,"In those diseases , many who are affected do actually have different physical characteristics compared to those without the genetic diseases .",22,medium
conll14,conll14_1119,"If some of my friends have horrible taste on clothes and he/she posts them often , I can simply block him/her off .",23,medium
conll14,conll14_990,Let 's examine the advantages and disadvantages of using social media in our daily life and society .,18,medium
conll14,conll14_392,The other reason that parents should know the baby they have is a carrier of genetic risk is for a nation 's good .,24,medium
conll14,conll14_517,"However , the wife actually had already known about the polygenetic disorder before the marriage and she did not tell her husband .",23,medium
conll14,conll14_427,"For example , if an unmarried person has gene Aa and gene aa is sufficient for a very seriou disease .",21,medium
conll14,conll14_938,"Twitter , that has more simplified function compared to Facebook , gives more benefit if used as information sharing media .",21,medium
conll14,conll14_1264,"Therefore , people may not contact with the faraway friends and relatives unless there are something important .",18,medium
conll14,conll14_1111,One can not truly understand a person with only stalking his/her facebook page where he/she carefully chooses what to present .,21,medium
conll14,conll14_788,A guy who is going travel for months can easily tell all of his friends about his activity .,19,medium
conll14,conll14_989,"However , there are arguments that social media life brings in a reduction in face-to-face human contact , which in turn affects interpersonal skills .",25,medium
conll14,conll14_1162,No pledge of authenticity risks people 's information and privacy that are shared on social media sites .,18,medium
conll14,conll14_564,"If he or her not get married , he or she must tell his or her partner that he carries disease gene .",23,medium
conll14,conll14_245,"Lying on the bed for the remaining life , and even die immediately , these are the consequences which we can not imagine .",24,medium
conll14,conll14_842,"Social media sites like Facebook and Twitter are born with the intention of connecting people , from around the world .",21,medium
conll14,conll14_1161,But there is possibility that the person on the other side is deceiving you in order to obtain your information against you .,23,medium
conll14,conll14_373,This information needs to be at least acknowledged by the other party before they make the decision to get married and have children .,24,medium
conll14,conll14_754,We can not be certain for sure the reliabilty or truth of some posts or information we received through the Inetrnet .,22,medium
conll14,conll14_974,Facebook and Twitter can serve as an alternative route to make connection between us and our old friends .,19,medium
conll14,conll14_909,"Even when people are thousands of miles apart , social media make it possible to have interaction by keep writing comments .",22,medium
conll14,conll14_118,"In conclusion , it will be considerate to inform the risk of getting the same genetic disease to the relatives .",21,medium
conll14,conll14_1089,Social media sites suppose be a very useful and convenient tool to use and bring people get closer in this globalised world .,23,medium
conll14,conll14_625,"For myself , I am long to some places after I saw those beatiful pictures taken by my firneds .",20,medium
conll14,conll14_757,"Thus , the lack of face-to-face human contact through social media restricts actual interaction which can be stimulated through the media .",22,medium
conll14,conll14_425,"If a person is obliged to tell his/her relatives , he or she might be discriminated by those who do not carry this gene .",25,medium
conll14,conll14_781,"Also , they will not have enough experience to communicate with people in face and not be trained in their conversation skills .",23,medium
conll14,conll14_1306,"Recent research has shown that the more people spend time on social media sites , the less they become ambitious .",21,medium
conll14,conll14_225,There are more intangible advantages that could support the stand of informing the relatives once the results are known after the test conducted .,24,medium
conll14,conll14_439,"In conclusion , a carrier of a known genetic risk should not be obligated to tell his or her relatives .",21,medium
conll14,conll14_537,Once his or her family or relatives know that the person does not have the relation with them .,19,medium
conll14,conll14_405,I think a carrier of a known genetic risk should not be obligated to tell his or her relatives .,20,medium
conll14,conll14_728,"Social media are able to improve relationship and make new friends , provided that there is mutual trust and mutual understanding between both parties .",25,medium
conll14,conll14_1170,"However , it also raised the concerns about whether it brings us more benefits or a human disaster .",19,medium
conll14,conll14_96,They can build a daily habit to eat less salt and fat and thus to avoid hypertension .,18,medium
conll14,conll14_362,"This is because many relate genetic diseases to those such as Bubble-Boy disease , autism or down-syndrome .",18,medium
conll14,conll14_1291,"In business area , social media is a good tool to develop and advertise products and services .",18,medium
conll14,conll14_849,We may meet only once but we exchange our contact numbers as well as facebook account in order to keep in touch .,23,medium
conll14,conll14_325,"In addition , doctors usually quote a statement , "" Prevention is better than curation "" ; this gives us an idea that preventing a disorder to happen has far more advantages than curing it .",36,long
conll14,conll14_980,"The usage of social media sites indirectly causes a reduction in face-to-face human communication in real life , which will in turn cause the lost of interpersonal skills for many people .",32,long
conll14,conll14_30,"The issue on right to know or not to know is highly debatable although it is a genetic risk , one can not be entire sure because the genetic information could possibly result from the families of either parents - his maternal and paternal uncles , aunts or cousin .",50,long
conll14,conll14_69,It is a long time discussion that whether a carrier of a known genetic risk should be obligated to tell his or her relatives that his or her disease is caused by gene .,34,long
conll14,conll14_423,One might also choose to hint or encourage their certain relatives to run a gene test if they are concerned about negative consequences that comes across when they disclose their genetic results .,33,long
conll14,conll14_139,"And if the results turn out to be otherwise , then the family can be prepared emotionally and psychologically of the future outcome and aid them in making upcoming decisions .",31,long
conll14,conll14_571,"After got the divorce certificate , the man showed her the test report ; it wrote that the woman carried the disease gene instead of the man .",28,long
conll14,conll14_696,A research shows that people will unconsciously hide his or her real thought when he or her say or post something that will be exposed to the public .,29,long
conll14,conll14_966,"However , calling a person by using a phone and writing a person a letter require some cost , and sending a letter to a person who live far away , especially in villages , takes much time .",39,long
conll14,conll14_309,It is not a heavy job for the family if they have prepare their mental first by disclosing the information of the probability that their children may suffer from the genetic disorder .,33,long
conll14,conll14_1169,Everyone in the world can not stop using it every day to express their feelings or ideas and a log of other stuff which helps their friends know their lives better .,32,long
conll14,conll14_1068,"With the help of social media site , people are able to upload their new discoveries and funny scene on it and they can be updated the new information of their friends .",33,long
conll14,conll14_1059,"Therefore , while social media sites are undoubtedly have benefits in our life , we should consider its drawbacks and thus use it wisely so that we can gain more of their benefits and it disadvantages us in the smallest way as possible .",44,long
conll14,conll14_417,This means both of his parents has gene A and they are both under high risk of having disease C. They could save the cost of runing two separate tests to see whether they are under high risk of having disease C. If he runs a test and know that he has the gene Aa .,56,long
conll14,conll14_750,"With the frequent usage and reliance of the social media and the Internet , a society that socialises through the cyber will be more advance and adapted to the highly connected world .",33,long
conll14,conll14_588,"In addition , though it can be possible in some cases that he or she and the family can undergo specific discrimination in employment and their social life , how people can face more dramatic tragedy such as sickness or death if they can not even overcome this harsh situation .",51,long
conll14,conll14_393,There are always newspaper report that a new born baby has be abandoned at hospital after they realized the baby have diseases that need a huge amount of money to secure .,32,long
conll14,conll14_479,Sometimes it becomes extremely hard for them to accept this news especially if they are going to know that they or their descendants may have a severe disease like blood disease which is untreatable .,35,long
conll14,conll14_714,"However , critics may argue that with the existence of social media sites have reduced physical human interactions among people as they will prefer sitting in front of a computer to going out and meeting new friends .",38,long
conll14,conll14_266,"First of all , from the angle of human right , a genetic risk carrier should not be obligated to tell the truth to others .",26,long
conll14,conll14_141,Having support from relatives are vital as they ensure the genetic risk carrier that he/she is not alone in facing this illness and it will certainly provide a morale boost as the whole family will share a common sentiment with regards towards the future prospect of the genetic disorder which could be inherited by anyone in the family .,59,long
conll14,conll14_1156,Updated news people care about can be easily obtained when you refresh your social media sites on your smart phones and laptops almost every time at any time .,29,long
conll14,conll14_355,"Hence , for a family in which every member is truly believing in each other and loving each other ,all these troubles are just testaments to make them stronger .",30,long
conll14,conll14_1044,"Through those sites we are able to talk to them , to know what their activities are and who their friends are , etc. From the surface point of view it is no doubt that these sites help us to have a better relationship with our relatives despite of the distance .",52,long
conll14,conll14_15,"It is a concern that will be with us during our whole life , because we will never know when the ''potential bomb' ' will explode .",27,long
conll14,conll14_535,"So I think whatever the genetic is or whether the gene is match with their parents , it should not be told to anyone even his or her family or relatives .",32,long
conll14,conll14_704,"With no close relationship in real life but only close cyber friends , one is more possibly to feel lonely because the physiological need of human beings is to feel the bond with others by our five senses .",39,long
conll14,conll14_1006,"In addition , there are also some false reports and fake IDs occur on both social media sites that people use fake ID to insult or harass someone , like the case of Heather Chua occurred recently on Facebook .",40,long
conll14,conll14_1053,"Other than that , sometimes the message of one party can not be delivered properly to the other one since the communication is done through written language , and thus the 'tone ' of the message sent and when it is received may be different .",46,long
conll14,conll14_1157,"However , after one has registered in those social media sites which are not reliable , all the information you have filled in will be a weapon against you in the future .",33,long
conll14,conll14_591,"Furthermore , living with a secret is not a good sensation , especially if the situations of other relatives become worse , you should feel guilty and depressed .",29,long
conll14,conll14_789,"When one of his friends who is not aware of this has failed to contact him via telephone calls , he might be able to get his whereabout using social media .",32,long
conll14,conll14_197,"However , I belive that the carrier has right not to obligate to tell anyone but has responsibility to take an action to prevent any ethical dilemma .",28,long
conll14,conll14_189,"If used for a good purpose , it can prevent unnecessary unhappiness , however , it could also make situation worse by revealing who the carrier is , in the family .",32,long
conll14,conll14_63,"In this case , the carrier can eat less candies and chocolates to prevent intake to much sugars , and at the same time , if the carrier tell this information to the relatives , it will be useful for them to know that they may have diabetes in the future becouse of related genes and they can perform the same exercise to intake less sugar to prevent the disease .",71,long
conll14,conll14_822,"However , it is also bringing some social changes whereby such virtual worlds are overtaking the real-life world , resulting in some negative impacts in individuaul 's daily lives and therefore becoming a large problem in societies as a whole .",41,long
conll14,conll14_182,"If anything wrong happened to the carrier 's life , without informing the family members it could make a huge regret in their life if she leaves without them knowing about it .",33,long
conll14,conll14_720,"Hence , social media has benefited the masses by equipping them with a powerful tool to disseminate information almost immediate to the people around them .",26,long
conll14,conll14_1305,"Last but not least , social media does affect human interpersonal skills when people increase the time on social sites and reject chances to expose to social daily life activities as well as interacting with people .",37,long
conll14,conll14_821,"Thanks to them , people can get to know one another online , without having to travel to meet up for business purposes for companies or personal reasons .",29,long
conll14,conll14_758,"Although emocons can be used to show certain emotion , this differs from the real authentic emotion of your friends when you observed them through their body language and their facial expression .",33,long
conll14,conll14_286,Many syndromes such as Down Syndrome and Taylor Syndrome can be prevented to happen if the mother undergo proper medication and do n't consume harmful goods during the pregnancy period .,31,long
conll14,conll14_1307,"As a result , if the situation keep go on in this unexpected trend , it will cause a bad effect on the young generation .",26,long
conll14,conll14_389,"The situation may become worst if the child has diseases like cancer or heart disease , which means that parents have another heavy baggage named medication fees .",28,long
conll14,conll14_800,"This is because by the ease of technology such as airplane , some of our friends might be going overseas to continue their studies or even you are away from your family to pursue your studies or even careers in life .",42,long
conll14,conll14_1241,They can learn how these people succeed and they can also have the chance to talk with them and know these famous persons ' thought by using the social media .,31,long
conll14,conll14_777,"The children nowadays do not know what is neighbourhood games and who is staying beside them , all they know is pressing icons on the screens .",27,long
conll14,conll14_755,"We may in actual fact communicating with a hoax Facebook acccount of a cyber friend , which we assume to be real but in reality , it is a fake account .",32,long
conll14,conll14_1310,It not only is convenient and beneficial in connecting people and developing the business but it also can damage people relationships and interpersonal skills .,25,long
conll14,conll14_1285,"Nowadays , thanks to the help of social media , with just one click , you can contact your family and friends wherever you want .",26,long
conll14,conll14_1056,Nowadays we can not really trust new people whom we know from social media since we will never know whether they are even 'real' .,25,long
conll14,conll14_1235,"For example , on mother 's day , people are shy to say "" I love you "" to their mothers so they can type it on his or her mother 's facebook page .",35,long
conll14,conll14_29,"In cases where an individual has gotten to know of a genetic disorder , disclosing or otherwise , to his or her relative is solely a matter of preference within the indivdial moral system .",35,long
conll14,conll14_44,"From a practitioner 's perspective these findings are important because if lay constructs of the family and kinship are a social construct they may not be in line with geneticists ' views of family relationships , or about which blood ( or non-blood ) relatives should be informed and by whom ; this is also likely to be dependent on the cultural and ethnic context .",66,long
conll14,conll14_950,"Another disadvantage that affects other people is that by only showing selected part of our lives , we build "" false image "" in public .",26,long
conll14,conll14_940,"For Facebook , a comprehensive way of sharing is offered since multiple photos and videos can be uploaded , long notes can be published , even documents and data can be shared through Facebook nowadays .",36,long
conll14,conll14_798,"In the past , it took a few days to receive a message as we need to post our letter and now , we can use e-mail which stands for electronic message to send messages to our friends or even use our handphone to send our messages .",48,long
conll14,conll14_473,"Once we found we were carrying this genetic risk , it is better for us to tell our family members because they may carry it as well .",28,long
conll14,conll14_187,"As the techonology has been advancing , it has reached a stage whereby the advancement triggers some ethical dilemmas in relation to the acutual use of the techonology .",29,long
conll14,conll14_365,"In this particular case , we are discussing about whether a person should tell his relatives about him having a RISK of a particular genetic disease .",27,long
conll14,conll14_1175,"To them , social media is the only resource they can approach to know everything happened in their home country and the way they can use to show their lives to their lovers as well .",36,long
conll14,conll14_454,"Therefore , telling the families and the relatives to get prepared for fighting the disease and even prevent to get the disease is your responsibility .",26,long
conll14,conll14_97,"In a nutshell , our society ca n't push genetic problem carrier to tell his or her disease to his or her relatives but he or she should be willing to tell his or her relatives about his or her genetic problem .",43,long
conll14,conll14_824,"As people feel more confident online where they do not have to face in real-life on the spot , they feel more comfortable and thus prefer communicating online .",29,long
conll14,conll14_1042,"Nevertheless , with those advantages , some disadvantages may appear such as reduction in face-to-face human contact which affects interpersonal skills , privacy issue , as well as some frauds that can be done through social media .",38,long
conll14,conll14_480,"Imagine you are living like a normal person but suddenly one day your relative comes tells you that actually there are some possibilities that you may encounter some disease in the future , what kind of feeling are you going to have ?",43,long
bea19,bea19_592,They use at least one hour to learn English knowledge a day .,13,short
bea19,bea19_4103,Stocks are an integral part of their livelihood .,9,short
bea19,bea19_723,This is a modern city .,6,short
bea19,bea19_1429,Introduction,1,short
bea19,bea19_1087,She wanted to be his wife so bad .,9,short
bea19,bea19_2040,"Finally , I think technological developments make us improve to the future .",13,short
bea19,bea19_1973,"The've got a lot of different dishes , traditional and modern .",12,short
bea19,bea19_1764,"However , I like to be a volunteer on enjoyable projects .",12,short
bea19,bea19_2461,Do n't forget to practise and enjoy Puerquitour ! ! !,11,short
bea19,bea19_3193,I followed cricket religiously and have watched almost every match India played .,13,short
bea19,bea19_3148,( Please ! ) .,5,short
bea19,bea19_839,There was a funny thing when I went to the marshal .,12,short
bea19,bea19_4084,The effects of this are unpredictable .,7,short
bea19,bea19_1536,Similarly travelling by car has its own advantage and disadvantages .,11,short
bea19,bea19_2292,Bart is ten years old and is a typical American child .,12,short
bea19,bea19_2696,"Second , being punctual .",5,short
bea19,bea19_2694,Businesslike suits and ties fit in well with the formal occasion .,12,short
bea19,bea19_3335,"This zone is part of a protected area , a natural park .",13,short
bea19,bea19_3200,I will also advise reading more about cricket on cricinfo.com .,11,short
bea19,bea19_4327,They come to feel prejudice toward Jews .,8,short
bea19,bea19_1179,"August , 23rd 2014",4,short
bea19,bea19_2664,"For example , you can travel to new places .",10,short
bea19,bea19_2257,"There were two rooms , smoking room or non - smoking room .",13,short
bea19,bea19_1032,Susan is a little dragon .,6,short
bea19,bea19_3185,Cricket is my passion .,5,short
bea19,bea19_2146,"Firstly , the car is more convenient because there is privacy .",12,short
bea19,bea19_822,Contemporary Art is a very controversial issue nowadays .,9,short
bea19,bea19_3365,"On the other hand , the gym is too small .",11,short
bea19,bea19_2318,First of all they are very dirty by nature .,10,short
bea19,bea19_1357,I was amazed of how huge were the falls .,10,short
bea19,bea19_454,1- make me fit and healthy,6,short
bea19,bea19_4239,Modern times saw gas and electric ranges as to staple .,11,short
bea19,bea19_899,Last night I made a decision .,7,short
bea19,bea19_675,That 's reason why basketball is my favorite sport .,10,short
bea19,bea19_804,Dear Carlos,2,short
bea19,bea19_726,You may like this .,5,short
bea19,bea19_1346,"On september 12th,2014 I went to New York city .",10,short
bea19,bea19_520,Dear sir Dimara .,4,short
bea19,bea19_1234,Íñigo Ojeda .,3,short
bea19,bea19_2937,"solution "" and blended learning is the future .",9,short
bea19,bea19_1283,I asked myself many times what is the aim of our life ?,13,short
bea19,bea19_3748,Mine is not the only experience like this .,9,short
bea19,bea19_2815,Yours Agnieszka,2,short
bea19,bea19_3553,"If this is so , they should also work better .",11,short
bea19,bea19_1755,My job was checking songs list which singers would perform .,11,short
bea19,bea19_1817,It is hard to compete with the Internet .,9,short
bea19,bea19_2951,That 's the most important point if you want to play handball .,13,short
bea19,bea19_720,l wish you will have a impressed time .,9,short
bea19,bea19_365,"I 'm your employee , to serve on your company .",11,short
bea19,bea19_1747,I got a lot of experience from them .,9,short
bea19,bea19_1717,Are you okay'I asked .,5,short
bea19,bea19_2688,That 's how I see a home of the future .,11,short
bea19,bea19_1252,"Second , the teachers were really good skills to teach .",11,short
bea19,bea19_1693,I think a great disadvantage is the price of the course .,12,short
bea19,bea19_3962,The are not strong enough and if captured could be raped .,12,short
bea19,bea19_1933,It is not fair enough .,6,short
bea19,bea19_698,I love to play cricket .,6,short
bea19,bea19_2388,"He has to deal with it , the sooner the better .",12,short
bea19,bea19_4190,We have also become more considerable of our animal life .,11,short
bea19,bea19_2062,Also it makes us more clever .,7,short
bea19,bea19_3760,Even ' artificial intelligence ' needs to be programmed .,10,short
bea19,bea19_4374,Some television shows show violence because it appeals to adult viewers .,12,short
bea19,bea19_2287,I recommend you not to take warm clothes .,9,short
bea19,bea19_794,Buses are more simple - you just buy a ticket .,11,short
bea19,bea19_2699,"As the old saying goes , well prepared is half done .",12,short
bea19,bea19_350,Here we can eat typical Italian food .,8,short
bea19,bea19_2760,Another thing to add is not being stressed before the exam night .,13,short
bea19,bea19_3523,"There will be business booms and free competition with the removal of protective practices , along with greater freedom to travel .",22,medium
bea19,bea19_3199,"To learn more about bowling one should watch Akram , Warne and Murli .",14,medium
bea19,bea19_2538,"But then she said "" hello , my name is Anna and I think you are my mother "" .",20,medium
bea19,bea19_2716,"Because of all the above points , I think I am a suitable person for the job .",18,medium
bea19,bea19_1487,The most important thing in the environment care is the education of children .,14,medium
bea19,bea19_566,It is his town and it is his duty too to save town 's history .,16,medium
bea19,bea19_3798,"What people have also become aware of , is the immense power which genetic manipulation can give to certain individuals .",21,medium
bea19,bea19_3888,Herds where this disease was found were put down before the symptoms progressed further .,15,medium
bea19,bea19_1887,Some of them think that books are more interesting than them film versions .,14,medium
bea19,bea19_3808,"Scientific research is not a corrupt , but an essential and natural part of the human condition for bettering itself .",21,medium
bea19,bea19_2103,"Actually , I do not know how to swim but it is my favorite sport in my whole life .",20,medium
bea19,bea19_2070,I do not agree with the people who think that tablets are useless .,14,medium
bea19,bea19_647,"Penny was too sad , the only thing that he can do is to wait and keep calm .",19,medium
bea19,bea19_3526,"Further changes are forecast for Britain , effecting day to day matters , to create a "" European Standard "" .",21,medium
bea19,bea19_272,I have seen your announcement in the newspaper and I am interested to apply for .,16,medium
bea19,bea19_2404,I am writing to apply for the post of a summer camp councellor currently advertised on your website .,19,medium
bea19,bea19_3575,"Let us look at the founding of the European Community , before we discuss the issue of sovereignty in more detail .",22,medium
bea19,bea19_1824,"I am a 20-year - old student from Switzerland speaking German , French and English and I am keen on travelling .",22,medium
bea19,bea19_887,Their parents were angry because she was the only one that never work .,14,medium
bea19,bea19_1591,"However , there will always be people who dislike to be a driver anyway .",15,medium
bea19,bea19_3780,They should be out enjoying themselves and gaining experiences for themselves instead of reading about them on a flat screen .,21,medium
bea19,bea19_1288,I am writing with reference to the post of job as a camp monitor that you require in summer .,20,medium
bea19,bea19_1551,"In my opinion , the transportation in our city have nothing to criticize expect that .",16,medium
bea19,bea19_394,He was at Sarah 's house when suddenly he left all the bathroom dirty and went to his house .,20,medium
bea19,bea19_1970,"The interior is big , so all the class could stay inside without problems .",15,medium
bea19,bea19_3208,It is a list of things that you want to do before you die .,15,medium
bea19,bea19_299,I went to temple in the morning followed by lunch at the hotel latter in the evening went to the beach .,22,medium
bea19,bea19_134,On the other hand huge traffic jams are a big issue for travelling by car .,16,medium
bea19,bea19_2028,"When I worked as educator , I used to plan and manage some sports and outdoor acitivities .",18,medium
bea19,bea19_110,"Friends could be communicated and exchanged the ideas , feelings and funny things happened around ourselves .",17,medium
bea19,bea19_3978,"Women should be created equal , but they can only do what nature intended they to do ...",18,medium
bea19,bea19_1486,The organic waste is picked up every day and plastic and paper waste is picked up every other day .,20,medium
bea19,bea19_3480,"To a certain extent , even if sovereignty was lost , some national personality would be preserved .",18,medium
bea19,bea19_3549,Europe will therefore be a nation to be reckoned with as regards competition .,14,medium
bea19,bea19_1718,I was shaking like a leaf and my heart is pounding since I was worried about Winnie .,18,medium
bea19,bea19_1950,Is it really worth leaving your own country for a period of time to study English ?,17,medium
bea19,bea19_206,"Also , I assisted to a ballet course for 4 years when I was young .",16,medium
bea19,bea19_4055,It was discovered that the older drugs could be synthesized efficiently while still remaining biologically active .,17,medium
bea19,bea19_3930,"Contribution to society "" is subjective and therefore impossible to compensate "" equally ' .",15,medium
bea19,bea19_3732,The development and implementation of technology has affected societies in every corner of the world .,16,medium
bea19,bea19_1324,"In the class , students will recall the joyful time they had instead paying attention on the teacher .",19,medium
